,id,year,weekday,hour,splimit,gender,age,county,vehicle_type,circumstances,latitude,longitude,total_casualties,outcome_calculated,is_fatal,severity,geometry,is_dcc,radius_500m
2069,19328,2012,1,5,50,1,6,6,1,10,53.39553187475454,-6.231946850779951,1.0,3,False,0.0,POINT (-6.231946850779951 53.39553187475454),True,25
2070,67165,2014,5,1,50,1,6,6,2,3,53.347438292782925,-6.238013328063324,1.0,3,False,0.0,POINT (-6.238013328063324 53.347438292782925),True,61
2071,28105,2006,6,4,50,1,7,6,3,8,53.32562741205393,-6.288309037843176,1.0,3,False,0.0,POINT (-6.288309037843176 53.32562741205393),True,13
2072,6695,2010,5,2,60,2,8,6,3,7,53.36261671026102,-6.240808834293415,1.0,3,False,0.0,POINT (-6.240808834293415 53.36261671026102),True,80
2073,34222,2009,7,2,100,2,8,6,3,7,53.26182923801858,-6.149268621534607,1.0,3,False,0.0,POINT (-6.149268621534607 53.26182923801858),False,31
2074,29231,2009,6,2,80,2,5,26,3,7,53.14088467791797,-6.077875048042027,1.0,3,False,0.0,POINT (-6.077875048042027 53.14088467791797),False,5
2075,23001,2012,6,1,50,1,8,6,5,6,53.32997162085232,-6.264327672582269,3.0,3,False,0.0,POINT (-6.264327672582269 53.32997162085232),True,198
2076,38896,2011,7,3,80,2,4,6,3,10,53.29161399682911,-6.330470728659469,1.0,3,False,0.0,POINT (-6.330470728659469 53.29161399682911),False,31
2077,11390,2008,6,2,50,2,6,6,3,7,53.359122710464845,-6.240510877854986,1.0,3,False,0.0,POINT (-6.240510877854986 53.359122710464845),True,100
2078,7003,2010,4,2,50,0,9,6,3,10,53.32017485403773,-6.315774140213283,1.0,3,False,0.0,POINT (-6.315774140213283 53.32017485403773),True,21
2079,19486,2012,5,1,50,1,6,6,3,10,53.325129067404134,-6.306364018942687,1.0,3,False,0.0,POINT (-6.306364018942687 53.325129067404134),True,47
2080,34193,2009,4,3,50,0,5,6,2,6,53.33063466566577,-6.233461613602003,1.0,3,False,0.0,POINT (-6.233461613602003 53.33063466566577),True,72
2081,29141,2009,7,4,100,0,1,6,4,10,53.26892186303246,-6.163267291795424,2.0,3,False,0.0,POINT (-6.163267291795424 53.26892186303246),False,36
2082,16711,2008,5,3,50,1,1,26,4,4,53.1931562583205,-6.105974628431271,1.0,3,False,0.0,POINT (-6.105974628431271 53.1931562583205),False,21
2083,32888,2009,5,2,50,1,6,6,3,7,53.27817503810712,-6.185312286071393,1.0,3,False,0.0,POINT (-6.185312286071393 53.27817503810712),False,49
2084,39697,2011,3,3,50,1,7,6,4,10,53.33190787665569,-6.252667372755789,1.0,3,False,0.0,POINT (-6.252667372755789 53.33190787665569),True,89
2085,39716,2011,4,1,50,1,7,6,4,10,53.307403366090284,-6.280304355224039,1.0,3,False,0.0,POINT (-6.280304355224039 53.307403366090284),True,58
2086,1322,2013,5,1,50,2,3,6,3,7,53.26643768107138,-6.1585246793893536,1.0,3,False,0.0,POINT (-6.1585246793893536 53.26643768107138),False,31
2087,15321,2008,7,3,50,2,5,6,3,7,53.28882032347036,-6.323941078569253,2.0,3,False,0.0,POINT (-6.323941078569253 53.28882032347036),False,25
2088,1113,2013,4,1,50,1,9,6,3,10,53.31085280641281,-6.279765784129426,1.0,3,False,0.0,POINT (-6.279765784129426 53.31085280641281),True,76
2089,49765,2005,7,2,50,1,6,6,3,10,53.34554460656747,-6.272154185800329,4.0,3,False,0.0,POINT (-6.272154185800329 53.34554460656747),True,289
